code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,module_presentation_length,average_score,min_score,max_score,assessments_submitted,average_submission_date,average_assessment_weight,assessment_type_diversity,total_resource_clicks,average_resource_clicks,first_used,last_used,resources_used,interaction_duration,days_registered
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,False,-159.0,268,81.5,78.0,85.0,2.0,35.5,15.0,1.0,585.0,5.4672897196261685,-5.0,83.0,37.0,88.0,245.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,False,-53.0,268,69.0,68.0,70.0,2.0,37.0,15.0,1.0,809.0,3.6278026905829597,-10.0,84.0,45.0,94.0,139.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,True,-92.0,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,3.6973684210526314,-10.0,12.0,22.0,22.0,178.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,False,-52.0,268,71.5,71.0,72.0,2.0,34.0,15.0,1.0,965.0,3.397887323943662,-10.0,85.0,46.0,95.0,138.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,False,-176.0,268,49.5,30.0,69.0,2.0,50.5,15.0,1.0,683.0,3.632978723404255,-10.0,85.0,43.0,95.0,262.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,False,-110.0,268,74.0,69.0,79.0,2.0,41.5,15.0,1.0,1060.0,3.5099337748344372,-10.0,86.0,47.0,96.0,196.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,False,-67.0,268,67.5,65.0,70.0,2.0,37.0,15.0,1.0,726.0,4.776315789473684,-10.0,84.0,32.0,94.0,153.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,False,-29.0,268,72.0,72.0,72.0,2.0,37.5,15.0,1.0,652.0,2.6612244897959183,-9.0,85.0,33.0,94.0,115.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,False,-33.0,268,70.0,68.0,72.0,2.0,36.5,15.0,1.0,722.0,3.2232142857142856,-4.0,85.0,37.0,89.0,119.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,20-30%,55<=,0,60,False,-179.0,268,75.5,71.0,80.0,2.0,30.5,15.0,1.0,1210.0,3.4277620396600565,-7.0,86.0,50.0,93.0,265.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,False,-103.0,268,72.0,68.0,76.0,2.0,35.5,15.0,1.0,778.0,3.795121951219512,-10.0,83.0,37.0,93.0,189.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,False,-47.0,268,73.5,73.0,74.0,2.0,36.5,15.0,1.0,809.0,3.7627906976744185,-10.0,86.0,39.0,96.0,133.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,False,-59.0,268,69.0,67.0,71.0,2.0,35.5,15.0,1.0,725.0,3.8978494623655915,-10.0,73.0,31.0,83.0,145.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,False,-68.0,268,79.0,73.0,85.0,2.0,33.5,15.0,1.0,1557.0,3.672169811320755,-10.0,86.0,54.0,96.0,154.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,False,-67.0,268,62.5,42.0,83.0,2.0,36.5,15.0,1.0,1264.0,4.0,-10.0,84.0,40.0,94.0,153.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,False,-180.0,268,67.0,66.0,68.0,2.0,34.0,15.0,1.0,170.0,3.207547169811321,-10.0,51.0,25.0,61.0,266.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,False,-95.0,268,59.5,59.0,60.0,2.0,35.5,15.0,1.0,551.0,4.373015873015873,-10.0,78.0,43.0,88.0,181.0
AAA,2013J,71361,M,Ireland,HE Qualification,20-30%,35-55,0,60,False,-130.0,268,84.0,82.0,86.0,2.0,36.0,15.0,1.0,1534.0,3.6963855421686747,-10.0,83.0,45.0,93.0,216.0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,False,-50.0,268,39.0,18.0,60.0,2.0,38.0,15.0,1.0,76.0,1.7674418604651163,-5.0,54.0,17.0,59.0,136.0
