id_student,code_module,code_presentation,precision,recall
6516,AAA,2014J,0.35,0.2
8462,DDD,2013J,0.0,0.0
11391,AAA,2013J,0.25,0.2777777777777778
23698,CCC,2014J,0.05,0.043478260869565216
23798,BBB,2013J,0.25,0.17857142857142858
24186,GGG,2014B,0.1,0.2
24213,DDD,2014B,0.2,0.05555555555555555
24391,GGG,2013J,0.2,0.14814814814814814
24734,AAA,2014J,0.3,0.2608695652173913
25107,BBB,2013B,0.3,0.23076923076923078
25150,EEE,2014B,0.2,0.2
26023,GGG,2013J,0.3,0.2222222222222222
26192,AAA,2014J,0.4,0.3076923076923077
26211,FFF,2014B,0.5,0.07633587786259542
26315,BBB,2014J,0.5,0.22727272727272727
26734,BBB,2014J,0.05,0.25
27116,CCC,2014J,0.15,0.06666666666666667
27189,FFF,2014B,0.15,0.075
27417,DDD,2013J,0.05,0.07692307692307693
27417,DDD,2014J,0.1,0.4
27683,FFF,2014B,0.75,0.23076923076923078
27759,BBB,2013J,0.1,0.18181818181818182
27780,EEE,2014B,0.2,0.25
27891,BBB,2013B,0.0,0.0
27935,DDD,2013J,0.05,0.041666666666666664
28046,DDD,2013J,0.15,0.06666666666666667
28061,AAA,2014J,0.5,0.37037037037037035
28400,AAA,2013J,0.3,0.15384615384615385
28418,CCC,2014B,0.0,0.0
28787,CCC,2014J,0.15,0.13043478260869565
28897,FFF,2014B,0.35,0.07291666666666667
29144,BBB,2013B,0.8,0.21333333333333335
29335,FFF,2013J,0.25,0.05102040816326531
29411,DDD,2013J,0.1,0.028169014084507043
29420,CCC,2014J,0.25,0.125
29639,CCC,2014J,0.4,0.13793103448275862
29639,EEE,2014B,0.05,0.043478260869565216
29764,CCC,2014B,0.35,0.18421052631578946
29769,FFF,2013J,0.2,0.16666666666666666
29820,CCC,2014B,0.1,0.05714285714285714
29820,EEE,2014B,0.1,0.06896551724137931
29985,GGG,2014B,0.4,0.25806451612903225
30091,BBB,2013J,0.1,0.16666666666666666
30096,CCC,2014J,0.2,0.14285714285714285
30531,FFF,2014B,0.05,0.2
30549,DDD,2013J,0.0,0.0
30850,CCC,2014J,0.2,0.125
31107,GGG,2014B,0.35,0.21875
31161,CCC,2014J,0.4,0.2
31173,DDD,2013J,0.2,0.11428571428571428
31205,GGG,2014J,0.2,0.5
31296,FFF,2014J,0.5,0.2564102564102564
31600,AAA,2014J,0.0,0.0
31604,AAA,2013J,0.3,0.16666666666666666
31663,BBB,2013B,0.35,0.1891891891891892
31849,BBB,2013J,0.15,0.1875
32221,FFF,2013J,0.15,0.1875
32239,GGG,2013J,0.2,0.13333333333333333
32327,BBB,2014J,0.35,0.6363636363636364
32885,AAA,2013J,0.35,0.30434782608695654
32930,BBB,2014J,0.5,0.38461538461538464
33387,DDD,2013J,0.1,0.4
33666,BBB,2013B,0.2,0.5714285714285714
33681,DDD,2013J,0.15,0.10714285714285714
33796,DDD,2014J,0.1,0.07692307692307693
33915,FFF,2013B,0.25,0.058823529411764705
33930,DDD,2013J,0.15,0.11538461538461539
34087,DDD,2013J,0.05,0.14285714285714285
34087,DDD,2014J,0.1,0.125
34229,BBB,2013B,0.1,0.16666666666666666
34353,BBB,2013B,0.05,0.25
34653,DDD,2013J,0.1,0.5
34662,BBB,2014J,0.2,0.5
34863,BBB,2013B,0.15,0.5
35001,GGG,2013J,0.25,0.8333333333333334
35340,EEE,2014B,0.2,0.2222222222222222
35355,CCC,2014J,0.25,0.35714285714285715
35355,EEE,2013J,0.15,0.1
35508,CCC,2014J,0.2,0.07272727272727272
35508,EEE,2014B,0.0,0.0
35544,FFF,2013B,0.7,0.1414141414141414
35860,FFF,2013B,0.45,0.1111111111111111
36347,FFF,2014B,0.4,0.17777777777777778
37298,FFF,2013B,0.65,0.18055555555555555
37622,BBB,2013J,0.3,0.24
37652,CCC,2014J,0.1,0.10526315789473684
38053,AAA,2013J,0.6,0.2926829268292683
38234,BBB,2013J,0.0,0.0
38711,BBB,2014J,0.2,0.36363636363636365
39208,BBB,2014J,0.25,0.125
39655,BBB,2013B,0.15,0.375
39660,DDD,2014B,0.0,0.0
39882,FFF,2014B,0.3,0.15789473684210525
40184,DDD,2013J,0.15,0.07692307692307693
40419,DDD,2013B,0.05,1.0
40419,DDD,2013J,0.25,0.09433962264150944
40563,DDD,2013J,0.05,0.05555555555555555
40604,CCC,2014B,0.1,0.2222222222222222
