id_student,code_module,code_presentation,precision,recall,f1
6516,AAA,2014J,0.45,0.42857142857142855,0.4390243902439024
11391,AAA,2013J,0.2,0.3333333333333333,0.25
23698,CCC,2014J,0.0,0.0,0.0
23798,BBB,2013J,0.25,0.2,0.22222222222222224
24186,GGG,2014B,0.15,0.3,0.2
24213,DDD,2014B,0.3,0.12,0.17142857142857143
24391,GGG,2013J,0.5,0.5263157894736842,0.5128205128205129
24734,AAA,2014J,0.35,0.35,0.35
25107,BBB,2013B,0.2,0.26666666666666666,0.2285714285714286
25150,EEE,2014B,0.3,0.6666666666666666,0.41379310344827586
26023,GGG,2013J,0.05,0.09090909090909091,0.06451612903225806
26192,AAA,2014J,0.2,0.4444444444444444,0.2758620689655173
26211,FFF,2014B,0.85,0.26153846153846155,0.4
26315,BBB,2014J,0.35,0.30434782608695654,0.3255813953488372
27116,CCC,2014J,0.15,0.0967741935483871,0.11764705882352941
27189,FFF,2014B,0.05,0.058823529411764705,0.05405405405405405
27417,DDD,2013J,0.05,1.0,0.09523809523809523
27417,DDD,2014J,0.05,1.0,0.09523809523809523
27683,FFF,2014B,0.9,0.5142857142857142,0.6545454545454545
27759,BBB,2013J,0.1,0.4,0.16000000000000003
27780,EEE,2014B,0.1,0.4,0.16000000000000003
28046,DDD,2013J,0.2,0.18181818181818182,0.1904761904761905
28061,AAA,2014J,0.2,0.4444444444444444,0.2758620689655173
28400,AAA,2013J,0.35,0.4117647058823529,0.37837837837837834
28787,CCC,2014J,0.0,0.0,0.0
28897,FFF,2014B,0.35,0.15555555555555556,0.21538461538461537
29144,BBB,2013B,0.35,0.16279069767441862,0.22222222222222227
29335,FFF,2013J,0.3,0.13636363636363635,0.18749999999999997
29411,DDD,2013J,0.25,0.11363636363636363,0.15625
29420,CCC,2014J,0.05,0.058823529411764705,0.05405405405405405
29639,CCC,2014J,0.2,0.10810810810810811,0.14035087719298245
29639,EEE,2014B,0.35,0.7777777777777778,0.48275862068965514
29764,CCC,2014B,0.2,0.3076923076923077,0.24242424242424246
29769,FFF,2013J,0.0,0.0,0.0
29820,CCC,2014B,0.05,0.09090909090909091,0.06451612903225806
29820,EEE,2014B,0.2,0.4444444444444444,0.2758620689655173
29985,GGG,2014B,0.45,0.5625,0.5
30091,BBB,2013J,0.0,0.0,0.0
30096,CCC,2014J,0.1,0.16666666666666666,0.125
30531,FFF,2014B,0.0,0.0,0.0
30850,CCC,2014J,0.1,0.1,0.10000000000000002
31107,GGG,2014B,0.3,0.2857142857142857,0.2926829268292683
31161,CCC,2014J,0.15,0.14285714285714285,0.14634146341463414
31173,DDD,2013J,0.0,0.0,0.0
31296,FFF,2014J,0.35,0.30434782608695654,0.3255813953488372
31600,AAA,2014J,0.0,0.0,0.0
31604,AAA,2013J,0.3,0.5,0.37499999999999994
31663,BBB,2013B,0.05,0.058823529411764705,0.05405405405405405
31849,BBB,2013J,0.25,0.38461538461538464,0.30303030303030304
32239,GGG,2013J,0.05,0.05263157894736842,0.05128205128205128
32885,AAA,2013J,0.2,0.36363636363636365,0.25806451612903225
32930,BBB,2014J,0.5,0.47619047619047616,0.4878048780487805
33796,DDD,2014J,0.05,0.058823529411764705,0.05405405405405405
33915,FFF,2013B,0.15,0.10344827586206896,0.12244897959183673
33930,DDD,2013J,0.1,0.14285714285714285,0.11764705882352941
34087,DDD,2014J,0.15,0.25,0.18749999999999997
34229,BBB,2013B,0.1,0.2,0.13333333333333333
34353,BBB,2013B,0.05,0.3333333333333333,0.08695652173913045
34863,BBB,2013B,0.1,0.5,0.16666666666666669
35340,EEE,2014B,0.25,0.8333333333333334,0.3846153846153846
35355,EEE,2013J,0.45,0.8181818181818182,0.5806451612903226
35508,CCC,2014J,0.3,0.13043478260869565,0.18181818181818182
35508,EEE,2014B,0.4,0.8,0.5333333333333333
35544,FFF,2013B,0.3,0.14285714285714285,0.19354838709677416
35860,FFF,2013B,0.55,0.18333333333333332,0.27499999999999997
36347,FFF,2014B,0.4,0.3076923076923077,0.34782608695652173
37298,FFF,2013B,0.6,0.3333333333333333,0.42857142857142855
37622,BBB,2013J,0.1,0.18181818181818182,0.12903225806451613
37652,CCC,2014J,0.05,0.0625,0.05555555555555556
38053,AAA,2013J,0.65,0.5,0.5652173913043479
38234,BBB,2013J,0.1,1.0,0.18181818181818182
38711,BBB,2014J,0.0,0.0,0.0
39208,BBB,2014J,0.25,0.23809523809523808,0.24390243902439024
39655,BBB,2013B,0.05,0.5,0.09090909090909091
39882,FFF,2014B,0.4,0.36363636363636365,0.380952380952381
